task_name,model_name,num_windows,prep_time_s,inference_time_s,avg_time_per_window
gdp_saar_first_h1,xgboost,100,0.0,140.62398196163122,1.4062398196163122
gdp_saar_second_h1,xgboost,100,0.0,128.08196578989737,1.2808196578989737
gdp_saar_third_h1,xgboost,100,0.0,127.44596491381526,1.2744596491381526
gdp_saar_first_h1,chronos2,100,0.0,70.48219070862979,0.7048219070862979
gdp_saar_third_h1,chronos2,100,0.0,70.34204604267143,0.7034204604267142
gdp_saar_second_h1,chronos2,100,0.0,70.30379691440612,0.7030379691440612
gdp_saar_second_h1,auto_arima,100,0.0,47.90204700094182,0.4790204700094182
gdp_saar_third_h1,auto_arima,100,0.0,45.53361345571466,0.45533613455714655
gdp_saar_first_h1,auto_arima,100,0.0,44.3250017571263,0.44325001757126303
gdp_saar_first_h1,local_trend_ssm,100,0.0,13.287594540044665,0.13287594540044664
gdp_saar_second_h1,local_trend_ssm,100,0.0,12.827136289561167,0.12827136289561167
gdp_saar_third_h1,local_trend_ssm,100,0.0,12.628329960862175,0.12628329960862175
gdp_saar_second_h1,random_forest,100,0.0,12.446092297439463,0.12446092297439464
gdp_saar_third_h1,random_forest,100,0.0,12.225842794170603,0.12225842794170604
gdp_saar_first_h1,random_forest,100,0.0,12.002616534475237,0.12002616534475237
gdp_saar_second_h1,auto_ets,100,0.0,3.47188337019179,0.0347188337019179
gdp_saar_first_h1,auto_ets,100,0.0,3.34354070876725,0.0334354070876725
gdp_saar_third_h1,auto_ets,100,0.0,3.274499334045686,0.03274499334045686
gdp_saar_first_h1,factor_pca_qd,100,0.0,2.2962560828309506,0.022962560828309508
gdp_saar_second_h1,factor_pca_qd,100,0.0,2.0774080868577585,0.020774080868577585
gdp_saar_third_h1,factor_pca_qd,100,0.0,2.070281414082274,0.02070281414082274
gdp_saar_second_h1,bvar_minnesota_20,100,0.0,1.5313892440171912,0.015313892440171912
gdp_saar_first_h1,bvar_minnesota_20,100,0.0,1.5093037488404661,0.01509303748840466
gdp_saar_first_h1,bvar_minnesota_growth_20,100,0.0,1.3637392456876114,0.013637392456876113
gdp_saar_second_h1,bvar_minnesota_growth_20,100,0.0,1.354328079149127,0.01354328079149127
gdp_saar_third_h1,bvar_minnesota_20,100,0.0,1.329917381866835,0.013299173818668351
gdp_saar_third_h1,bvar_minnesota_growth_20,100,0.0,1.3298625368624926,0.013298625368624925
gdp_saar_second_h1,theta,100,0.0,1.2770937110763043,0.012770937110763042
gdp_saar_second_h1,bvar_minnesota_growth_8,100,0.0,1.2343294109450653,0.012343294109450653
gdp_saar_third_h1,bvar_minnesota_growth_8,100,0.0,1.1966939193662256,0.011966939193662256
gdp_saar_third_h1,bvar_minnesota_8,100,0.0,1.167617041268386,0.011676170412683859
gdp_saar_first_h1,bvar_minnesota_growth_8,100,0.0,1.1627671263413504,0.011627671263413504
gdp_saar_first_h1,bvar_minnesota_8,100,0.0,1.1579210065538064,0.011579210065538064
gdp_saar_third_h1,theta,100,0.0,1.1177494237199426,0.011177494237199426
gdp_saar_first_h1,theta,100,0.0,1.1118948325747624,0.011118948325747623
gdp_saar_second_h1,bvar_minnesota_8,100,0.0,1.067203547572717,0.010672035475727171
gdp_saar_second_h1,mixed_freq_dfm_md,100,0.0,0.9459509995067492,0.009459509995067492
gdp_saar_first_h1,mixed_freq_dfm_md,100,0.0,0.9108845829032362,0.009108845829032361
gdp_saar_third_h1,mixed_freq_dfm_md,100,0.0,0.8611522889696062,0.008611522889696062
gdp_saar_first_h1,seasonal_naive,100,0.0,0.7253057047491893,0.0072530570474918935
gdp_saar_second_h1,mean,100,0.0,0.6588669630000368,0.006588669630000368
gdp_saar_first_h1,drift,100,0.0,0.5820965014863759,0.0058209650148637595
gdp_saar_third_h1,mean,100,0.0,0.5439867093227804,0.005439867093227804
gdp_saar_first_h1,naive_last,100,0.0,0.5429767110617831,0.005429767110617831
gdp_saar_second_h1,naive_last,100,0.0,0.5125099624274299,0.005125099624274298
gdp_saar_first_h1,mean,100,0.0,0.5100705453660339,0.005100705453660339
gdp_saar_second_h1,drift,100,0.0,0.5069223314058036,0.005069223314058036
gdp_saar_second_h1,seasonal_naive,100,0.0,0.49858733371365815,0.004985873337136582
gdp_saar_third_h1,naive_last,100,0.0,0.4951608363771811,0.004951608363771811
gdp_saar_third_h1,seasonal_naive,100,0.0,0.49488575593568385,0.004948857559356839
gdp_saar_third_h1,drift,100,0.0,0.4916610006475821,0.004916610006475821
