experiment,model,origin_date,information_cutoff,target_quarter,g_hat_saar,status,error,foundation_features
refreshed_19_quarterly,factor_pca_qd,2026-09-06T00:00:00,2026-09-05,2026Q3,2.221855273598688,ok,,
refreshed_19_quarterly,mixed_freq_dfm_md,2026-09-06T00:00:00,2026-09-05,2026Q3,2.062387115060699,ok,,
refreshed_19_quarterly,lstm_univariate,2026-09-06T00:00:00,2026-09-05,2026Q3,1.4971680633395876,ok,,
refreshed_19_quarterly,lstm_multivariate,2026-09-06T00:00:00,2026-09-05,2026Q3,0.8100334775819139,ok,,
refreshed_19_quarterly,ensemble_avg_top3,2026-09-06T00:00:00,2026-09-05,2026Q3,2.0679788148134928,ok,,
refreshed_19_quarterly,ensemble_weighted_top5,2026-09-06T00:00:00,2026-09-05,2026Q3,2.0072208656363606,ok,,
refreshed_19_quarterly,chronos2,2026-09-06T00:00:00,2026-09-05,2026Q3,4.065581946005165,ok,,
refreshed_19_quarterly,chronos2_covariates,2026-09-06T00:00:00,2026-09-05,2026Q3,3.089782865680074,ok,,quarterly
refreshed_19_quarterly,tabpfn_bridge,2026-09-06T00:00:00,2026-09-05,2026Q3,1.9518638458983597,ok,,quarterly
refreshed_19_quarterly,tabpfn_ts,2026-09-06T00:00:00,2026-09-05,2026Q3,-0.4218792644094662,ok,,
refreshed_19_quarterly,timesfm3,2026-09-06T00:00:00,2026-09-05,2026Q3,2.1649515212136228,ok,,
refreshed_19_monthly_slots,tabpfn_bridge,2026-09-06T00:00:00,2026-09-05,2026Q3,1.6980015578589729,ok,,monthly_slots
refreshed_19_monthly_slots,chronos2_covariates,2026-09-06T00:00:00,2026-09-05,2026Q3,2.0504782288233785,ok,,monthly_slots
expanded_41_monthly_slots,naive_last,2026-09-06T00:00:00,2026-09-05,2026Q3,0.0,ok,,
expanded_41_monthly_slots,last_growth,2026-09-06T00:00:00,2026-09-05,2026Q3,1.4836587880019794,ok,,
expanded_41_monthly_slots,mean_growth,2026-09-06T00:00:00,2026-09-05,2026Q3,2.026799425798384,ok,,
expanded_41_monthly_slots,ar4,2026-09-06T00:00:00,2026-09-05,2026Q3,1.999731596068658,ok,,
expanded_41_monthly_slots,bridge_ridge,2026-09-06T00:00:00,2026-09-05,2026Q3,5.7999057197626325,ok,,
expanded_41_monthly_slots,mean,2026-09-06T00:00:00,2026-09-05,2026Q3,-61.65615200017582,ok,,
expanded_41_monthly_slots,drift,2026-09-06T00:00:00,2026-09-05,2026Q3,2.026799425798384,ok,,
expanded_41_monthly_slots,seasonal_naive,2026-09-06T00:00:00,2026-09-05,2026Q3,-3.941724250009395,ok,,
expanded_41_monthly_slots,random_normal,2026-09-06T00:00:00,2026-09-05,2026Q3,3.0030850392614505,ok,,
expanded_41_monthly_slots,random_uniform,2026-09-06T00:00:00,2026-09-05,2026Q3,-15.424516241542843,ok,,
expanded_41_monthly_slots,random_permutation,2026-09-06T00:00:00,2026-09-05,2026Q3,1.290696770236949,ok,,
expanded_41_monthly_slots,auto_arima,2026-09-06T00:00:00,2026-09-05,2026Q3,2.1774727933954163,ok,,
expanded_41_monthly_slots,auto_ets,2026-09-06T00:00:00,2026-09-05,2026Q3,2.1713950827945174,ok,,
expanded_41_monthly_slots,theta,2026-09-06T00:00:00,2026-09-05,2026Q3,1.5590963437717047,ok,,
expanded_41_monthly_slots,local_trend_ssm,2026-09-06T00:00:00,2026-09-05,2026Q3,2.1634741963991453,ok,,
expanded_41_monthly_slots,random_forest,2026-09-06T00:00:00,2026-09-05,2026Q3,1.5016390636298989,ok,,
expanded_41_monthly_slots,xgboost,2026-09-06T00:00:00,2026-09-05,2026Q3,1.711594253021509,ok,,
expanded_41_monthly_slots,bvar_minnesota_8,2026-09-06T00:00:00,2026-09-05,2026Q3,3.0996524488876567,ok,,
expanded_41_monthly_slots,bvar_minnesota_20,2026-09-06T00:00:00,2026-09-05,2026Q3,4.538937555219329,ok,,
expanded_41_monthly_slots,bvar_minnesota_growth_8,2026-09-06T00:00:00,2026-09-05,2026Q3,2.0823292102900104,ok,,
expanded_41_monthly_slots,bvar_minnesota_growth_20,2026-09-06T00:00:00,2026-09-05,2026Q3,4.4242325200370605,ok,,
expanded_41_monthly_slots,factor_pca_qd,2026-09-06T00:00:00,2026-09-05,2026Q3,4.824464315494628,ok,,
