model,horizon,release_stage,n_leaked,n_requested_leaked,rmse_leaked,mae_leaked,baseline_rmse_leaked,rel_rmse_leaked,n_pit,n_requested_pit,rmse_pit,mae_pit,baseline_rmse_pit,rel_rmse_pit,rmse_change_pit_minus_leaked
ar4,1,first,4,4,0.8319035774859368,0.5491532096021339,2.3612709528664175,0.3523117821256659,4,4,0.5697928829974134,0.3999675258110927,2.3612709528664175,0.24130770859046258,-0.2621106944885234
ar4,1,second,4,4,0.8113209874926869,0.5656019984659878,2.369792760043261,0.3423594675333028,4,4,0.5655335204471075,0.41641631467494666,2.369792760043261,0.23864260621539898,-0.2457874670455794
ar4,1,third,4,4,0.835312485139315,0.5617930776986868,2.386953104867843,0.3499492652100357,4,4,0.5859091477396909,0.41260739390764556,2.386953104867843,0.24546320015454623,-0.24940333739962406
last_growth,1,first,4,4,1.1648080432990129,0.8098570601835334,2.3612709528664175,0.49329707032774767,4,4,0.736676606424087,0.5487579513638697,2.3612709528664175,0.3119830892468369,-0.42813143687492583
last_growth,1,second,4,4,1.1225073141173618,0.788248065261217,2.369792760043261,0.47367319752334386,4,4,0.7090050421920852,0.5271489564415534,2.369792760043261,0.2991844072386912,-0.41350227192527667
last_growth,1,third,4,4,1.155034068384479,0.8084653087984539,2.386953104867843,0.48389474683392625,4,4,0.7376448883052211,0.5473661999787903,2.386953104867843,0.3090319984925141,-0.41738918007925796
mean_growth,1,first,4,4,0.7341561489523789,0.5231718809786603,2.3612709528664175,0.3109156736380316,4,4,0.738218566903834,0.5266028243279122,2.3612709528664175,0.3126361106537513,0.004062417951455122
mean_growth,1,second,4,4,0.7009798903083452,0.5473010828150271,2.369792760043261,0.29579797108315437,4,4,0.7049257139847114,0.5507320261642789,2.369792760043261,0.29746302118495915,0.0039458236763662
mean_growth,1,third,4,4,0.7287283447510493,0.5592168724824667,2.386953104867843,0.3052964648802333,4,4,0.7326203714963104,0.5626478158317184,2.386953104867843,0.30692700665222034,0.0038920267452611235
naive_last,1,first,4,4,2.3612709528664175,2.3070650812126243,2.3612709528664175,1.0,4,4,2.3612709528664175,2.3070650812126243,2.3612709528664175,1.0,0.0
naive_last,1,second,4,4,2.369792760043261,2.3311942830489913,2.369792760043261,1.0,4,4,2.369792760043261,2.3311942830489913,2.369792760043261,1.0,0.0
naive_last,1,third,4,4,2.386953104867843,2.343110072716431,2.386953104867843,1.0,4,4,2.386953104867843,2.343110072716431,2.386953104867843,1.0,0.0
