Forecast Date,Quarter being forecasted,GDP Nowcast
9/6/22,9/30/22,1.4
9/7/22,9/30/22,1.4
9/9/22,9/30/22,1.3
9/13/22,9/30/22,1.4
9/14/22,9/30/22,1.5
9/15/22,9/30/22,0.5
9/20/22,9/30/22,0.3
9/21/22,9/30/22,0.2
9/27/22,9/30/22,0.3
9/28/22,9/30/22,1.6
9/30/22,9/30/22,2.4
10/3/22,9/30/22,2.3
10/4/22,9/30/22,2.5
10/5/22,9/30/22,2.7
10/7/22,9/30/22,2.9
10/12/22,9/30/22,2.8
10/13/22,9/30/22,2.9
10/14/22,9/30/22,2.8
10/18/22,9/30/22,2.9
10/19/22,9/30/22,2.9
10/20/22,9/30/22,2.8
10/21/22,9/30/22,3.1
10/26/22,9/30/22,3.1
10/28/22,12/31/22,3.1
11/1/22,12/31/22,2.6
11/2/22,12/31/22,3.8
11/3/22,12/31/22,3.6
11/4/22,12/31/22,3.8
11/9/22,12/31/22,4
11/10/22,12/31/22,4
11/15/22,12/31/22,4
11/16/22,12/31/22,4.4
11/17/22,12/31/22,4.2
11/18/22,12/31/22,4.1
11/23/22,12/31/22,4.3
11/30/22,12/31/22,4
12/1/22,12/31/22,2.8
12/2/22,12/31/22,3.6
12/5/22,12/31/22,3.1
12/6/22,12/31/22,3.4
12/9/22,12/31/22,3.2
12/12/22,12/31/22,3.1
12/15/22,12/31/22,2.8
12/20/22,12/31/22,2.7
12/23/22,12/31/22,3.7
12/27/22,12/31/22,3.6
1/3/23,12/31/22,3.9
1/4/23,12/31/22,4
1/5/23,12/31/22,3.8
1/6/23,12/31/22,4.1
1/10/23,12/31/22,4.1
1/12/23,12/31/22,4
1/13/23,12/31/22,4.1
1/18/23,12/31/22,3.5
1/19/23,12/31/22,3.5
1/20/23,12/31/22,3.5
1/27/23,3/31/23,0.7
2/1/23,3/31/23,0.7
2/2/23,3/31/23,2.1
2/3/23,3/31/23,2.1
2/7/23,3/31/23,2.1
2/8/23,3/31/23,2.2
2/10/23,3/31/23,2.2
2/14/23,3/31/23,2.1
2/15/23,3/31/23,2.4
2/16/23,3/31/23,2.5
2/17/23,3/31/23,2.5
2/21/23,3/31/23,2.5
2/24/23,3/31/23,2.7
2/27/23,3/31/23,2.8
2/28/23,3/31/23,2.3
3/1/23,3/31/23,2.3
3/2/23,3/31/23,2
3/3/23,3/31/23,2.1
3/6/23,3/31/23,2
3/7/23,3/31/23,2
3/8/23,3/31/23,2.6
3/10/23,3/31/23,2.8
3/14/23,3/31/23,2.8
3/15/23,3/31/23,3.2
3/16/23,3/31/23,3.2
3/17/23,3/31/23,3.2
3/21/23,3/31/23,3.5
3/23/23,3/31/23,3.5
3/24/23,3/31/23,3.2
3/28/23,3/31/23,2.7
3/31/23,3/31/23,2.5
4/3/23,3/31/23,1.7
4/4/23,3/31/23,2
4/5/23,3/31/23,1.5
4/7/23,3/31/23,2.2
4/10/23,3/31/23,2.2
4/12/23,3/31/23,2.3
4/13/23,3/31/23,2.3
4/14/23,3/31/23,2.5
4/18/23,3/31/23,2.5
4/20/23,3/31/23,2.4
4/24/23,3/31/23,1.3
4/25/23,3/31/23,1.4
4/26/23,3/31/23,1.1
4/28/23,6/30/23,1.7
5/1/23,6/30/23,1.8
5/2/23,6/30/23,1.9
5/3/23,6/30/23,2.7
5/4/23,6/30/23,2.7
5/5/23,6/30/23,2.7
5/8/23,6/30/23,2.7
5/10/23,6/30/23,2.7
5/11/23,6/30/23,2.7
5/12/23,6/30/23,2.6
5/16/23,6/30/23,2.6
5/17/23,6/30/23,2.9
5/18/23,6/30/23,2.9
5/23/23,6/30/23,2.8
5/26/23,6/30/23,1.9
6/1/23,6/30/23,2
6/2/23,6/30/23,2.3
6/5/23,6/30/23,2.3
6/7/23,6/30/23,2.2
6/8/23,6/30/23,2.2
6/12/23,6/30/23,2.1
6/13/23,6/30/23,2.1
6/14/23,6/30/23,2.2
6/15/23,6/30/23,1.8
6/20/23,6/30/23,1.9
6/22/23,6/30/23,1.9
6/27/23,6/30/23,1.8
6/28/23,6/30/23,1.6
6/30/23,6/30/23,2.2
7/3/23,6/30/23,1.9
7/5/23,6/30/23,2
7/6/23,6/30/23,2.1
7/7/23,6/30/23,2.2
7/10/23,6/30/23,2.3
7/12/23,6/30/23,2.3
7/13/23,6/30/23,2.4
7/14/23,6/30/23,2.4
7/18/23,6/30/23,2.4
7/19/23,6/30/23,2.4
7/20/23,6/30/23,2.4
7/26/23,6/30/23,2.4
7/28/23,9/30/23,3.5
8/1/23,9/30/23,3.9
8/3/23,9/30/23,4
8/4/23,9/30/23,4
8/8/23,9/30/23,4.1
8/10/23,9/30/23,4.1
8/11/23,9/30/23,4.1
8/15/23,9/30/23,5
8/16/23,9/30/23,5.8
8/22/23,9/30/23,5.7
8/23/23,9/30/23,5.7
8/24/23,9/30/23,5.9
8/31/23,9/30/23,5.6
9/1/23,9/30/23,5.6
9/5/23,9/30/23,5.4
9/6/23,9/30/23,5.6
9/8/23,9/30/23,5.6
9/13/23,9/30/23,5.5
9/14/23,9/30/23,4.9
9/15/23,9/30/23,4.9
9/19/23,9/30/23,4.9
9/21/23,9/30/23,4.8
9/26/23,9/30/23,4.8
9/27/23,9/30/23,4.9
9/29/23,9/30/23,4.9
10/2/23,9/30/23,4.9
10/4/23,9/30/23,4.9
10/5/23,9/30/23,4.9
10/6/23,9/30/23,5.1
10/10/23,9/30/23,5.1
10/11/23,9/30/23,5.1
10/12/23,9/30/23,5.1
10/13/23,9/30/23,5.2
10/17/23,9/30/23,5.4
10/18/23,9/30/23,5.4
10/19/23,9/30/23,5.4
10/20/23,9/30/23,5.4
10/25/23,9/30/23,5.4
10/27/23,12/31/23,2.3
11/1/23,12/31/23,1.2
11/2/23,12/31/23,1.4
11/3/23,12/31/23,2.2
11/7/23,12/31/23,2.1
11/8/23,12/31/23,2.1
11/14/23,12/31/23,2.1
11/15/23,12/31/23,2.2
11/16/23,12/31/23,1.8
11/17/23,12/31/23,2
11/21/23,12/31/23,1.9
11/22/23,12/31/23,2.1
11/27/23,12/31/23,1.9
11/29/23,12/31/23,1.8
11/30/23,12/31/23,1.8
12/1/23,12/31/23,1.2
12/4/23,12/31/23,1.3
12/5/23,12/31/23,1.3
12/6/23,12/31/23,1.3
12/7/23,12/31/23,1.2
12/8/23,12/31/23,2.3
12/12/23,12/31/23,2.4
12/13/23,12/31/23,2.4
12/14/23,12/31/23,2.6
12/15/23,12/31/23,2.6
12/19/23,12/31/23,2.7
12/20/23,12/31/23,2.7
12/22/23,12/31/23,2.3
12/28/23,12/31/23,1.9
1/2/24,12/31/23,2
1/3/24,12/31/23,2.5
1/4/24,12/31/23,2.4
1/5/24,12/31/23,2
1/9/24,12/31/23,2.2
1/10/24,12/31/23,2.2
1/11/24,12/31/23,2.2
1/12/24,12/31/23,2.2
1/17/24,12/31/23,2.4
1/18/24,12/31/23,2.4
1/19/24,12/31/23,2.4
1/26/24,3/31/24,3
2/1/24,3/31/24,4.2
2/2/24,3/31/24,3.5
2/5/24,3/31/24,3.5
2/7/24,3/31/24,3.4
2/8/24,3/31/24,3.4
2/12/24,3/31/24,3.4
2/13/24,3/31/24,3.4
2/15/24,3/31/24,2.9
2/16/24,3/31/24,2.9
2/22/24,3/31/24,2.9
2/26/24,3/31/24,3.2
2/27/24,3/31/24,3.2
2/29/24,3/31/24,3
3/1/24,3/31/24,2.1
3/5/24,3/31/24,2.6
3/6/24,3/31/24,2.5
3/7/24,3/31/24,2.5
3/8/24,3/31/24,3.2
3/12/24,3/31/24,3.2
3/14/24,3/31/24,2.3
3/15/24,3/31/24,2
3/19/24,3/31/24,2.1
3/21/24,3/31/24,2.2
3/25/24,3/31/24,2.2
3/26/24,3/31/24,2.1
3/29/24,3/31/24,2.3
4/1/24,3/31/24,2.8
4/2/24,3/31/24,2.8
4/3/24,3/31/24,2.5
4/4/24,3/31/24,2.5
4/5/24,3/31/24,2.3
4/10/24,3/31/24,2.4
4/11/24,3/31/24,2.4
4/12/24,3/31/24,2.4
4/15/24,3/31/24,2.8
4/16/24,3/31/24,2.9
4/18/24,3/31/24,2.9
4/23/24,3/31/24,2.8
4/24/24,3/31/24,2.7
4/26/24,6/30/24,3.9
5/1/24,6/30/24,3.3
5/2/24,6/30/24,3.3
5/3/24,6/30/24,4.1
5/8/24,6/30/24,4.2
5/10/24,6/30/24,4.2
5/14/24,6/30/24,4.2
5/15/24,6/30/24,3.8
5/16/24,6/30/24,3.6
5/22/24,6/30/24,3.6
5/23/24,6/30/24,3.4
5/24/24,6/30/24,3.5
5/31/24,6/30/24,2.7
6/3/24,6/30/24,1.8
6/4/24,6/30/24,2.3
6/5/24,6/30/24,2.4
6/6/24,6/30/24,2.6
6/7/24,6/30/24,3.1
6/12/24,6/30/24,3.1
6/13/24,6/30/24,3.2
6/14/24,6/30/24,3.2
6/18/24,6/30/24,3.1
6/20/24,6/30/24,3
6/21/24,6/30/24,3
6/26/24,6/30/24,3
6/27/24,6/30/24,2.7
6/28/24,6/30/24,2.2
7/1/24,6/30/24,1.7
7/3/24,6/30/24,1.5
7/5/24,6/30/24,2
7/10/24,6/30/24,2
7/11/24,6/30/24,2
7/12/24,6/30/24,2
7/16/24,6/30/24,2.5
7/17/24,6/30/24,2.7
7/23/24,6/30/24,2.6
7/24/24,6/30/24,2.6
7/26/24,9/30/24,2.8
8/1/24,9/30/24,2.5
8/2/24,9/30/24,2.9
8/5/24,9/30/24,2.9
8/6/24,9/30/24,2.9
8/8/24,9/30/24,2.9
8/13/24,9/30/24,2.9
8/14/24,9/30/24,2.9
8/15/24,9/30/24,2.4
8/16/24,9/30/24,2
8/22/24,9/30/24,2
8/23/24,9/30/24,2
8/26/24,9/30/24,2
8/30/24,9/30/24,2.5
9/3/24,9/30/24,2
9/4/24,9/30/24,2.1
9/5/24,9/30/24,2
9/6/24,9/30/24,2.5
9/9/24,9/30/24,2.5
9/11/24,9/30/24,2.5
9/12/24,9/30/24,2.5
9/13/24,9/30/24,2.6
9/17/24,9/30/24,3
9/18/24,9/30/24,2.9
9/19/24,9/30/24,2.9
9/25/24,9/30/24,2.8
9/27/24,9/30/24,3.1
10/1/24,9/30/24,2.5
10/3/24,9/30/24,3.1
10/4/24,9/30/24,3.3
10/8/24,9/30/24,3.2
10/9/24,9/30/24,3.2
10/10/24,9/30/24,3.2
10/11/24,9/30/24,3.2
10/16/24,9/30/24,3.2
10/17/24,9/30/24,3.4
10/18/24,9/30/24,3.4
10/23/24,9/30/24,3.4
10/24/24,9/30/24,3.5
10/25/24,9/30/24,3.3
10/29/24,9/30/24,2.8
10/31/24,12/31/24,2.7
11/1/24,12/31/24,2.3
11/4/24,12/31/24,2.4
11/5/24,12/31/24,2.4
11/7/24,12/31/24,2.5
11/13/24,12/31/24,2.5
11/14/24,12/31/24,2.5
11/15/24,12/31/24,2.5
11/19/24,12/31/24,2.6
11/21/24,12/31/24,2.6
11/26/24,12/31/24,2.8
11/27/24,12/31/24,2.7
12/2/24,12/31/24,3.2
12/4/24,12/31/24,3.1
12/5/24,12/31/24,3.3
12/6/24,12/31/24,3.3
12/9/24,12/31/24,3.3
12/11/24,12/31/24,3.4
12/12/24,12/31/24,3.3
12/13/24,12/31/24,3.3
12/17/24,12/31/24,3.1
12/18/24,12/31/24,3.2
12/20/24,12/31/24,3.1
12/24/24,12/31/24,3.1
12/27/24,12/31/24,2.5
1/2/25,12/31/24,2.6
1/3/25,12/31/24,2.4
1/6/25,12/31/24,2.6
1/7/25,12/31/24,2.7
1/9/25,12/31/24,2.7
1/10/25,12/31/24,2.7
1/14/25,12/31/24,2.8
1/15/25,12/31/24,2.8
1/16/25,12/31/24,3
1/17/25,12/31/24,3
1/24/25,12/31/24,3
1/27/25,12/31/24,3
1/28/25,12/31/24,3.2
1/29/25,12/31/24,2.3
1/31/25,3/31/25,2.9
2/3/25,3/31/25,3.9
2/4/25,3/31/25,3
2/5/25,3/31/25,2.9
2/7/25,3/31/25,2.9
2/12/25,3/31/25,2.9
2/13/25,3/31/25,2.9
2/14/25,3/31/25,2.3
2/19/25,3/31/25,2.3
2/21/25,3/31/25,2.3
2/26/25,3/31/25,2.3
2/28/25,3/31/25,-1.5
3/3/25,3/31/25,-2.8
3/4/25,3/31/25,-2.3
3/5/25,3/31/25,-2.3
3/6/25,3/31/25,-2.4
3/7/25,3/31/25,-1.6
3/12/25,3/31/25,-1.6
3/13/25,3/31/25,-1.6
3/17/25,3/31/25,-2.1
3/18/25,3/31/25,-1.8
3/20/25,3/31/25,-1.7
3/25/25,3/31/25,-1.9
3/26/25,3/31/25,-1.8
3/28/25,3/31/25,-2.8
4/1/25,3/31/25,-3.7
4/2/25,3/31/25,-3
4/3/25,3/31/25,-2.8
4/4/25,3/31/25,-2.4
4/9/25,3/31/25,-2.4
4/10/25,3/31/25,-2.4
4/11/25,3/31/25,-2.4
4/15/25,3/31/25,-2.6
4/16/25,3/31/25,-2.2
4/17/25,3/31/25,-2.2
4/23/25,3/31/25,-2.3
4/24/25,3/31/25,-2.5
4/29/25,3/31/25,-2.7
4/30/25,6/30/25,2.4
5/1/25,6/30/25,1.1
5/2/25,6/30/25,2.2
5/5/25,6/30/25,2.2
5/6/25,6/30/25,2.2
5/8/25,6/30/25,2.3
5/12/25,6/30/25,2.2
5/13/25,6/30/25,2.2
5/15/25,6/30/25,2.5
5/16/25,6/30/25,2.4
5/19/25,6/30/25,2.4
5/22/25,6/30/25,2.3
5/23/25,6/30/25,2.4
5/27/25,6/30/25,2.2
5/30/25,6/30/25,3.8
6/2/25,6/30/25,4.6
6/3/25,6/30/25,4.7
6/4/25,6/30/25,3.5
6/5/25,6/30/25,3.8
6/6/25,6/30/25,3.7
6/9/25,6/30/25,3.8
6/11/25,6/30/25,3.7
6/12/25,6/30/25,3.7
6/17/25,6/30/25,3.5
6/18/25,6/30/25,3.4
6/23/25,6/30/25,3.4
6/25/25,6/30/25,3.4
6/27/25,6/30/25,2.9
7/1/25,6/30/25,2.5
7/2/25,6/30/25,2.4
7/3/25,6/30/25,2.6
7/9/25,6/30/25,2.6
7/11/25,6/30/25,2.5
7/15/25,6/30/25,2.5
7/16/25,6/30/25,2.7
7/17/25,6/30/25,2.4
7/18/25,6/30/25,2.4
7/23/25,6/30/25,2.3
7/24/25,6/30/25,2.4
7/25/25,6/30/25,2.4
7/29/25,6/30/25,2.9
7/31/25,9/30/25,2.3
8/1/25,9/30/25,2.1
8/4/25,9/30/25,2.5
8/5/25,9/30/25,2.5
8/7/25,9/30/25,2.5
8/12/25,9/30/25,2.5
8/14/25,9/30/25,2.5
8/15/25,9/30/25,2.5
8/19/25,9/30/25,2.3
8/21/25,9/30/25,2.2
8/25/25,9/30/25,2.2
8/26/25,9/30/25,2.2
8/29/25,9/30/25,3.5
9/2/25,9/30/25,3
9/3/25,9/30/25,3
9/4/25,9/30/25,3
9/5/25,9/30/25,3.1
9/10/25,9/30/25,3.1
9/11/25,9/30/25,3.1
9/16/25,9/30/25,3.4
9/17/25,9/30/25,3.3
9/24/25,9/30/25,3.4
9/26/25,9/30/25,3.9
10/1/25,9/30/25,3.8
10/3/25,9/30/25,3.8
10/16/25,9/30/25,3.9
10/23/25,9/30/25,3.9
10/24/25,9/30/25,3.9
11/3/25,9/30/25,4
11/5/25,9/30/25,4
11/17/25,9/30/25,4.1
11/18/25,9/30/25,4
11/19/25,9/30/25,4.2
11/20/25,9/30/25,4.2
11/21/25,9/30/25,4.2
11/24/25,9/30/25,4.2
11/25/25,9/30/25,4
11/26/25,9/30/25,3.9
12/1/25,9/30/25,3.9
12/3/25,9/30/25,3.8
12/4/25,9/30/25,3.8
12/5/25,9/30/25,3.5
12/11/25,9/30/25,3.6
12/16/25,9/30/25,3.5
12/23/25,12/31/25,3
1/5/26,12/31/25,2.7
1/6/26,12/31/25,2.9
1/7/26,12/31/25,2.9
1/8/26,12/31/25,5.4
1/9/26,12/31/25,5.1
1/13/26,12/31/25,5.1
1/14/26,12/31/25,5.3
1/15/26,12/31/25,5.2
1/16/26,12/31/25,5.3
1/21/26,12/31/25,5.4
1/22/26,12/31/25,5.4
1/26/26,12/31/25,5.4
1/29/26,12/31/25,4.2
1/30/26,12/31/25,4.2
2/2/26,12/31/25,4.2
2/4/26,12/31/25,4.2
2/10/26,12/31/25,3.7
2/11/26,12/31/25,3.7
2/12/26,12/31/25,3.6
2/13/26,12/31/25,3.6
2/18/26,12/31/25,3.6
2/19/26,12/31/25,3
