model,origin_date,target_quarter,horizon,information_cutoff,training_min_quarter,training_max_quarter,n_train,y_hat_level,g_hat_saar,status,error,model_use,checkpoint_repository,foundation_features,checkpoint_revision,checkpoint_published_at,checkpoint_license,checkpoint_research_only,max_vintage_used,max_vintage_inspected,pit_validated,audit_id
mixed_freq_dfm_md,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24411.592781816205,2.3606563965400684,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
lstm_univariate,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24166.801906276498,-1.6837457311983866,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
lstm_multivariate,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24509.48990832227,4.012536275561238,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
ensemble_avg_top3,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24394.124157199283,2.0679788148134928,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
ensemble_weighted_top5,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24382.61567731979,1.8755035638493307,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
chronos2,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24512.61422823579,4.065581946005165,ok,,research,amazon/chronos-2,,29ec3766d36d6f73f0696f85560a422f50e8498c,2026-06-05T11:55:42+00:00,Apache-2.0,False,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
chronos2_covariates,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24411.91970465905,2.3661398091662695,ok,,research,amazon/chronos-2,monthly_slots,29ec3766d36d6f73f0696f85560a422f50e8498c,2026-06-05T11:55:42+00:00,Apache-2.0,False,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
tabpfn_bridge,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24393.682555082334,2.060588147895788,ok,,research,Prior-Labs/tabpfn_3,monthly_slots,24a16a89d245878b846555110985634aa2e656d7,2026-07-04T04:15:30+00:00,TabPFN-3 non-commercial,True,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
tabpfn_ts,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24261.78488580912,-0.12895677556661309,ok,,research,Prior-Labs/tabpfn_3,,24a16a89d245878b846555110985634aa2e656d7,2026-07-04T04:15:30+00:00,TabPFN-3 non-commercial,True,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
timesfm3,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24399.91618406986,2.1649515212136228,ok,,research,google/timesfm-3.0-pytorch,,43046b85ec22d584a13f8098c2ed39c889e129c2,2026-09-02T15:44:59+00:00,TimesFM Non-Commercial License v1.0; non-production,True,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
