model_name,win_rate,skill_score,median_training_time_s,median_inference_time_s,training_corpus_overlap,num_failures
mean,1.0,0.331761221170472,0.0,0.5119529177900404,0.0,0
ensemble_avg_top3,0.9523809523809523,0.3134010557458099,0.0,0.049343416816554964,0.0,0
random_forest,0.9047619047619048,0.2872191666378734,0.0,5.362965585081838,0.0,0
xgboost,0.8571428571428571,0.2812866255323444,0.0,58.20834316627588,0.0,0
theta,0.7777777777777779,0.2533258179659621,0.0,0.7859157948987558,0.0,0
auto_arima,0.7777777777777777,0.25425583783152883,0.0,27.29670695925597,0.0,0
local_trend_ssm,0.7301587301587302,0.25210339768362156,0.0,4.0952326661208645,0.0,0
auto_ets,0.6666666666666666,0.24059771304971167,0.0,1.602484504925087,0.0,0
bvar_minnesota_growth_8,0.5873015873015872,0.23641590798722167,0.0,0.9409957465250045,0.0,0
mixed_freq_dfm_md,0.5714285714285714,0.23293496192824337,0.0,1.2882574149407446,0.0,0
bvar_minnesota_8,0.5396825396825397,0.23641477411412548,0.0,0.9303989574545994,0.0,0
ar4,0.492063492063492,0.23004670284735762,0.0,0.5606670817360282,0.0,0
chronos2,0.39682539682539675,0.2173428496046953,0.0,31.245158329838887,0.0,0
bvar_minnesota_growth_20,0.38095238095238093,0.21621078111224767,0.0,1.0180622901534662,0.0,0
bvar_minnesota_20,0.36507936507936506,0.21620717206118711,0.0,1.0405343325110152,0.0,0
factor_pca_qd,0.2698412698412698,0.04531052057376872,0.0,1.3793837913544849,0.0,0
naive_last,0.22222222222222218,0.0,0.0,0.5110921656014398,0.0,0
drift,0.1746031746031746,-0.001787735029698867,0.0,0.5119797104271129,0.0,0
random_permutation,0.1746031746031746,-0.016974475641851505,0.0,0.5071223359555006,0.0,0
random_normal,0.11111111111111109,-0.05971029639101921,0.0,0.5161532897036523,0.0,0
seasonal_naive,0.047619047619047616,-0.1589654243339793,0.0,0.5109390008728951,0.0,0
random_uniform,0.0,-1.6989596899241186,0.0,0.5140670031541958,0.0,0
