model_1,model_2,win_rate,skill_score
theta,chronos2,1.0,0.04597539081204649
theta,bvar_minnesota_growth_20,1.0,0.047353339340879264
theta,bvar_minnesota_20,1.0,0.047357725895997405
theta,factor_pca_qd,1.0,0.2178879121169437
theta,naive_last,1.0,0.2533258179659621
theta,random_permutation,1.0,0.2657886702979608
theta,drift,1.0,0.2546582914474371
theta,random_normal,1.0,0.29539782280408755
theta,seasonal_naive,1.0,0.3557407612370077
theta,random_uniform,1.0,0.7233474124042844
local_trend_ssm,mean,0.0,-0.11920562830307047
local_trend_ssm,ensemble_avg_top3,0.0,-0.08927723902746787
local_trend_ssm,random_forest,0.0,-0.049265871514268644
local_trend_ssm,xgboost,0.0,-0.04060482090004047
local_trend_ssm,auto_arima,0.3333333333333333,-0.002886298354181527
local_trend_ssm,theta,0.0,-0.0016371535426744632
local_trend_ssm,local_trend_ssm,0.5,0.0
local_trend_ssm,auto_ets,1.0,0.01515097443295299
local_trend_ssm,bvar_minnesota_growth_8,1.0,0.02054454756259816
local_trend_ssm,mixed_freq_dfm_md,1.0,0.02498932268320253
local_trend_ssm,bvar_minnesota_8,1.0,0.020546001988572815
local_trend_ssm,ar4,1.0,0.028646795744406428
local_trend_ssm,chronos2,1.0,0.04441350604331584
local_trend_ssm,bvar_minnesota_growth_20,1.0,0.04579371048546421
local_trend_ssm,bvar_minnesota_20,1.0,0.045798104222046554
local_trend_ssm,factor_pca_qd,1.0,0.21660747454149742
local_trend_ssm,naive_last,1.0,0.25210339768362156
local_trend_ssm,random_permutation,1.0,0.26458665361846756
local_trend_ssm,drift,1.0,0.2534380526287773
local_trend_ssm,random_normal,1.0,0.29424428085351506
local_trend_ssm,seasonal_naive,1.0,0.35468600994186616
local_trend_ssm,random_uniform,1.0,0.7228944896404119
auto_ets,mean,0.0,-0.13642355249188043
auto_ets,ensemble_avg_top3,0.0,-0.10603474314278172
auto_ets,random_forest,0.0,-0.06540783843506603
auto_ets,xgboost,0.0,-0.05661354571670607
auto_ets,auto_arima,0.0,-0.018314759236065736
auto_ets,theta,0.0,-0.017046397508451827
auto_ets,local_trend_ssm,0.0,-0.015384057900884374
auto_ets,auto_ets,0.5,0.0
