model_name,win_rate,skill_score,median_training_time_s,median_inference_time_s,training_corpus_overlap,num_failures
mean,1.0,0.3189426764194787,0.0,0.19916468934388826,0.0,0
auto_arima,0.8939393939393938,0.26620082256115685,0.0,27.881824271869846,0.0,0
theta,0.7803030303030302,0.25628417564698236,0.0,0.45994297700235615,0.0,0
random_forest,0.7121212121212122,0.2550129994284117,0.0,5.9743195220362395,0.0,0
auto_ets,0.5984848484848485,0.249575044511265,0.0,1.265465289587155,0.0,0
mixed_freq_dfm_md,0.5227272727272727,0.24622647385426544,0.0,0.35572929104091594,0.0,0
xgboost,0.49242424242424243,0.22559045960138346,0.0,58.6892802529037,0.0,0
local_trend_ssm,0.45454545454545464,0.20492743533405877,0.0,3.83757531165611,0.0,0
factor_pca_qd,0.2727272727272727,0.07567352911285574,0.0,0.8454790227697231,0.0,0
naive_last,0.18181818181818182,0.0,0.0,0.2031637082109227,0.0,0
drift,0.09090909090909091,-0.002380809336791634,0.0,0.19855948054464528,0.0,0
seasonal_naive,0.0,-0.16108891950325033,0.0,0.20159854181110853,0.0,0
