model_1,model_2,win_rate,skill_score
drift,auto_arima,0.0,-0.36601517166504705
drift,theta,0.0,-0.34780083536449546
drift,random_forest,0.0,-0.34550107393514096
drift,auto_ets,0.0,-0.3357508995472618
drift,mixed_freq_dfm_md,0.0,-0.32981694709053944
drift,xgboost,0.0,-0.29438075985069867
drift,local_trend_ssm,0.0,-0.26074128813381114
drift,factor_pca_qd,0.0,-0.08444455601788925
drift,naive_last,0.0,-0.002380809336791634
drift,drift,0.5,0.0
drift,seasonal_naive,1.0,0.13668902312353381
seasonal_naive,mean,0.0,-0.7048328816127545
seasonal_naive,auto_arima,0.0,-0.5822979300082667
seasonal_naive,theta,0.0,-0.5611996968241451
seasonal_naive,random_forest,0.0,-0.5585358115140391
seasonal_naive,auto_ets,0.0,-0.5472418807648247
seasonal_naive,mixed_freq_dfm_md,0.0,-0.5403683987685783
seasonal_naive,xgboost,0.0,-0.49932155911405207
seasonal_naive,local_trend_ssm,0.0,-0.46035591102441686
seasonal_naive,factor_pca_qd,0.0,-0.25614591388783636
seasonal_naive,naive_last,0.0,-0.16108891950325033
seasonal_naive,drift,0.0,-0.15833115387700336
seasonal_naive,seasonal_naive,0.5,0.0
